vf,E_1,V1,E2,V2,E11,E22,E33,G23,G13,G12,v12,v13,v21,v23,v31,v32
 6.77,6.89000000E+01,3.30000000E-01,3.79200000E+02,2.10000000E-01,7.78553913E+01,7.77065054E+01,7.82147766E+01,2.93316405E+01,2.94173181E+01,2.91360062E+01,3.21013641E-01,3.19064962E-01,3.20399755E-01,3.19416741E-01,3.20537785E-01,3.21506017E-01
 8.12,6.89000000E+01,3.30000000E-01,3.79200000E+02,2.10000000E-01,8.02139305E+01,7.96736936E+01,8.02561733E+01,3.00053520E+01,2.98870787E+01,2.99923409E+01,3.20118879E-01,3.15125669E-01,3.17962894E-01,3.18373844E-01,3.15291622E-01,3.20701417E-01
10.24,6.89000000E+01,3.30000000E-01,3.79200000E+02,2.10000000E-01,8.34650957E+01,8.28016144E+01,8.34020124E+01,3.10414630E+01,3.11435829E+01,3.10396731E+01,3.16146527E-01,3.13008710E-01,3.13633413E-01,3.15354094E-01,3.12772136E-01,3.17640739E-01
12.50,6.89000000E+01,3.30000000E-01,3.79200000E+02,2.10000000E-01,8.58137519E+01,8.66695126E+01,8.80879082E+01,3.26738336E+01,3.23353210E+01,3.22745137E+01,3.14237303E-01,3.06346065E-01,3.17370972E-01,3.04894343E-01,3.14464563E-01,3.09884111E-01
13.85,6.89000000E+01,3.30000000E-01,3.79200000E+02,2.10000000E-01,8.83601854E+01,8.86047532E+01,9.03367143E+01,3.32099786E+01,3.30340081E+01,3.31421153E+01,3.14199406E-01,3.02119764E-01,3.15069063E-01,3.03540305E-01,3.08877880E-01,3.09473621E-01
15.95,6.89000000E+01,3.30000000E-01,3.79200000E+02,2.10000000E-01,9.18593218E+01,9.24897004E+01,9.38128848E+01,3.45080602E+01,3.44552157E+01,3.45841124E+01,3.09193613E-01,3.01579206E-01,3.11315434E-01,2.99416968E-01,3.07992860E-01,3.03700513E-01
18.27,6.89000000E+01,3.30000000E-01,3.79200000E+02,2.10000000E-01,9.56034936E+01,9.54868410E+01,9.97821064E+01,3.61231958E+01,3.60111996E+01,3.56193324E+01,3.10607595E-01,2.90020798E-01,3.10228601E-01,2.91541172E-01,3.02696952E-01,3.04655510E-01
19.62,6.89000000E+01,3.30000000E-01,3.79200000E+02,2.10000000E-01,9.93653683E+01,9.88648563E+01,1.00611594E+02,3.70450787E+01,3.65189805E+01,3.63521882E+01,3.01056629E-01,2.92849657E-01,2.99540181E-01,2.98718277E-01,2.96522533E-01,3.03996011E-01
22.09,6.89000000E+01,3.30000000E-01,3.79200000E+02,2.10000000E-01,1.01423386E+02,1.02769551E+02,1.08431653E+02,3.87574002E+01,3.85770394E+01,3.83232110E+01,3.07464325E-01,2.81130915E-01,3.11545215E-01,2.78221038E-01,3.00556815E-01,2.93549664E-01
23.58,6.89000000E+01,3.30000000E-01,3.79200000E+02,2.10000000E-01,1.05905061E+02,1.06629183E+02,1.09847529E+02,3.97709981E+01,3.95078200E+01,3.94347712E+01,2.97332839E-01,2.84335550E-01,2.99365843E-01,2.84525067E-01,2.94920350E-01,2.93112772E-01
